turn,ts_ms,heapUsed,heapTotal,rss,external,arrayBuffers,mutableMessagesCount,mutableMessagesApproxBytes,contentReplacementSeenIds,contentReplacementReplacements,perKeyClippedIdsEntries,perKeyClippedIdsTotalIds,event
182,279.7,1213789,7564288,201900032,99493928,0,728,35259029,364,196,1,196,
183,280.4,1213789,7580672,202031104,99493928,0,732,35574758,366,196,1,196,
184,281.1,1213789,7629824,202031104,99493928,0,736,35953970,368,196,1,196,
185,282.2,1213789,7695360,202555392,99493928,0,740,36396761,370,196,1,196,
186,283.4,1213789,8154112,203079680,99493928,0,744,36903010,372,196,1,196,
187,284.4,1213789,9284608,203079680,99493928,0,748,37472734,374,196,1,196,
188,285.1,1213789,10136576,203079680,99493928,0,752,37900100,376,196,1,196,
189,285.8,1213789,10890240,203079680,99493928,0,756,38185172,378,196,1,196,
190,290.3,1213789,7580672,203079680,104412413,0,760,38533756,380,196,1,196,
191,291.5,1213789,7728128,203603968,104412413,0,764,38945748,382,196,1,196,
192,292.6,1213789,7744512,203997184,104412413,0,768,39421191,384,196,1,196,
193,293.6,1213789,7760896,203997184,104412413,0,772,39960180,386,196,1,196,
194,294.3,1213789,7810048,203997184,104412413,0,776,40356879,388,196,1,196,
195,294.8,1213789,7875584,203997184,104412413,0,780,40611212,390,196,1,196,
196,295.4,1213789,8252416,203997184,104412413,0,784,40928988,392,196,1,196,
197,296.2,1213789,9088000,204390400,104412413,0,788,41310232,394,196,1,196,
198,297.3,1213789,10136576,204783616,104412413,0,792,41755018,396,196,1,196,
199,298.2,1213789,11185152,204783616,104412413,0,796,42263304,398,196,1,196,
200,322.4,1213789,6597632,260489216,55325645,0,0,0,0,0,0,0,compact+clear
201,322.9,1213789,6695936,260489216,55325645,0,4,223527,2,0,0,0,
202,323.3,1213789,6745088,260489216,55325645,0,8,510685,4,0,0,0,
203,324.0,1213789,6777856,260489216,55325645,0,12,861252,6,0,0,0,
204,324.8,1213789,6827008,260489216,55325645,0,16,1275299,8,0,0,0,
205,325.5,1213789,6876160,260489216,55325645,0,20,1752853,10,0,0,0,
206,326.5,1213789,7891968,260489216,55325645,0,24,2293904,12,0,0,0,
207,327.4,1213789,8875008,260489216,55325645,0,28,2692595,14,0,0,0,
208,327.7,1213789,9415680,260489216,55325645,0,32,2948945,16,0,0,0,
209,328.4,1213789,10169344,260882432,55325645,0,36,3268787,18,0,0,0,
